"apricots, raw",48,1.4,11.12,0.39,0.027,2,0.001
"asparagus, cooked, boiled, drained, with salt",22,2.4,4.11,0.22,0.048,2,0.24
"bagel, wheat",250,10.2,48.89,1.53,0,4.1,0.439
"beans, snap, green, cooked, boiled, drained, with salt",35,1.89,7.88,0.28,0.062,3.2,0.239
"beef, brisket, flat half, separable lean and fat, trimmed to 0' fat, select, cooked, braised",205,33.59,0,6.77,2.666,0,0.057
"beef, tenderloin, steak, separable lean and fat, trimmed to 1/8' fat, choice, cooked, broiled",273,26.43,0,17.78,7.001,0,0.052
"cereals ready-to-eat, kellogg's, reduced sugar frosted flakes cereal",379,6,89,0.3,0,0.9,0.57
"crustaceans, crab, blue, crab cakes",155,20.21,0.48,7.52,1.483,0,0.33
"english muffins, plain, unenriched, with calcium propionate (includes sourdough)",235,7.7,46,1.8,0.259,2.7,0.464
"fish, catfish, channel, cooked, breaded and fried",229,18.09,8.04,13.33,3.288,0.7,0.28
"fish, croaker, atlantic, cooked, breaded and fried",221,18.2,7.54,12.67,3.476,0.4,0.348
"fish, grouper, mixed species, cooked, dry heat",118,24.84,0,1.3,0.299,0,0.053
"fish, mackerel, pacific and jack, mixed species, cooked, dry heat",201,25.73,0,10.12,2.881,0,0.11
"fish, snapper, mixed species, cooked, dry heat",128,26.3,0,1.72,0.365,0,0.057
fishsticks,228,18,12,12,0,0,0
"frozen yogurts, chocolate",127,3,21.6,3.6,2.272,2.3,0.063
"frozen yogurts, vanilla, soft-serve",159,4,24.2,5.6,3.42,0,0.087
"fruit-flavored drink, powder, with high vitamin c with other added vitamins, low calorie",227,0.25,91,0.16,0.01,2.2,0.014
"grapefruit, raw, pink and red and white, all areas",32,0.63,8.08,0.1,0.014,1.1,0
"guavas, common, raw",68,2.55,14.32,0.95,0.272,5.4,0.002
"hazelnuts, beaked (northern plains indians)",628,14.89,22.98,52.99,0.147,9.8,0.002
"honey loaf, pork, beef",125,11.12,9.98,4.47,1.449,0.8,1.018
"honey roll sausage, beef",182,18.58,2.18,10.5,4.08,0,1.322
"hummus, commercial",166,7.9,14.29,9.6,1.437,6,0.379
"kale, cooked, boiled, drained, with salt",28,1.9,5.63,0.4,0.052,2,0.259
"kellogg, kellog's nutri-grain cereal bars, mixed berry",370,4.3,72.8,7.6,1.5,1.9,0.284
kellogg's all bran,267,14,46,3,0,0,0
kellogg's cornflakes,367,8,82,0.8,0,0,0
kellogg's fruit & fiber,357,9,69,5,0,0,0
kellogg's muesli,362,10,67,6,0,0,0
kellogg's rice crisp,377,6,86,1,0,0,0
kellogg's special k,369,14,76,1,0,0,0
"lamb, australian, ground,  85% lean / 15% fat, raw",255,17.14,0,20.71,9.926,0,0.077
"lemon juice, canned or bottled",21,0.4,6.48,0.29,0.038,0.4,0.021
"lentils, mature seeds, cooked, boiled, with salt",114,9.02,19.54,0.38,0.053,7.9,0.238
"lettuce, butterhead (includes boston and bibb types), raw",13,1.35,2.23,0.22,0.029,1.1,0.005
"lettuce, iceberg (includes crisphead types), raw",14,0.9,2.97,0.14,0.018,1.2,0.01
"lima beans, immature seeds, cooked, boiled, drained, with salt",123,6.81,23.64,0.32,0.073,5.3,0.253
"lime juice, canned or bottled, unsweetened",21,0.25,6.69,0.23,0.026,0.4,0.016
"macaroni, protein-fortified, dry, enriched, (n x 5.70)",375,19.86,67.56,2.23,0.328,2.4,0.008
"melons, honeydew, raw",36,0.54,9.09,0.14,0.038,0.8,0.018
"milk, chocolate, fluid, commercial, reduced fat, with added calcium",78,2.99,12.13,1.9,1.177,0.7,0.066
miso,199,11.69,26.47,6.01,1.139,5.4,3.728
"mixed vegetable and fruit juice drink, with added nutrients",29,0.04,7.47,0.01,0,0,0.021
"mung beans, mature seeds, sprouted, cooked, stir-fried",50,4.3,10.59,0.21,0.039,1.9,0.009
"mungo beans, mature seeds, cooked, boiled, with salt",105,7.54,18.34,0.55,0.038,6.4,0.243
"mushrooms, portabella, grilled",29,3.28,4.44,0.58,0.079,2.2,0.011
"mushrooms, shiitake, cooked, with salt",56,1.56,14.39,0.22,0.05,2.1,0.24
"mustard greens, cooked, boiled, drained, with salt",26,2.56,4.51,0.47,0.012,2,0.252
"mustard spinach, (tendergreen), cooked, boiled, drained, with salt",16,1.7,2.8,0.2,0.013,2,0.25
"mutton, cooked, roasted (navajo)",234,33.43,0.08,11.09,5.142,0,0.135
"nectarines, raw",44,1.06,10.55,0.32,0.025,1.7,0
"new zealand spinach, cooked, boiled, drained, without salt",12,1.3,2.13,0.17,0.027,1.4,0.107
"noodles, japanese, soba, cooked",99,5.06,21.44,0.1,0.019,0,0.06
nutella,547,6.6,56.8,31.8,10.7,3.5,0.04
"nuts, acorns, raw",387,6.15,40.75,23.86,3.102,0,0
"nuts, cashew butter, plain, with salt added",587,17.56,27.57,49.41,9.763,2,0.406
"nuts, hazelnuts or filberts",628,14.95,16.7,60.75,4.464,9.7,0
"nuts, macadamia nuts, dry roasted, without salt added",718,7.79,13.38,76.08,11.947,8,0.004
"nuts, mixed nuts, dry roasted, with peanuts, without salt added",594,17.3,25.35,51.45,6.899,9,0.012
"nuts, pecans",691,9.17,13.86,71.97,6.18,9.6,0
"nuts, pistachio nuts, dry roasted, without salt added",567,20.95,29.38,44.82,5.456,9.9,0.006
"nuts, walnuts, black, dried",618,24.06,9.91,59,3.368,6.8,0.002
oats,389,16.89,66.27,6.9,1.217,10.6,0.002
"orange juice, chilled, includes from concentrate",49,0.68,11.54,0.12,0.014,0.3,0.002
papaya,43,0.47,10.82,0.26,0.081,1.7,0.008
"parmesan cheese topping, fat free",370,40,40,5,3.11,0,1.15
"parsley, fresh",36,2.97,6.33,0.79,0.132,3.3,0.056
"passion-fruit juice, purple, raw",51,0.39,13.6,0.05,0.004,0.2,0.006
"peaches, raw",39,0.91,9.54,0.25,0.019,1.5,0
"peanut butter, smooth, reduced fat",520,25.9,35.65,34,5.76,5.2,0.54
"pears, raw",57,0.36,15.23,0.14,0.022,3.1,0.001
"peas and carrots, frozen, cooked, boiled, drained, with salt",48,3.09,10.12,0.42,0.077,3.1,0.304
"peas, green, cooked, boiled, drained, with salt",84,5.36,15.63,0.22,0.039,5.5,0.239
"peas, split, mature seeds, cooked, boiled, without salt",118,8.34,21.1,0.39,0.054,8.3,0.002
"peppers, jalapeno, canned, solids and liquids",27,0.92,4.74,0.94,0.097,2.6,1.671
"pineapple, raw, extra sweet variety",51,0.53,13.5,0.11,0.245,1.4,0.001
"pork, fresh, belly, raw",518,9.34,0,53.01,19.33,0,0.032
potato pancakes,268,6.08,27.81,14.76,2.496,3.3,0.764
"potato salad, home-prepared",143,2.68,11.17,8.2,1.429,1.3,0.529
"quinoa, cooked",120,4.4,21.3,1.92,0.231,2.8,0.007
quorn,86,12.5,1.8,3.2,0,0,0
"raisins, golden seedless",302,3.39,79.52,0.46,0.151,4,0.012
"raspberries, raw",52,1.2,11.94,0.65,0.019,6.5,0.001
"restaurant, chinese, lemon chicken",226,10.77,19.15,11.76,1.912,1.1,0.243
"restaurant, chinese, shrimp and vegetables",78,5.9,4.52,4.05,0.633,1.4,0.375
"restaurant, chinese, sweet and sour chicken",250,10.1,23.86,12.65,1.933,1,0.246
"restaurant, chinese, sweet and sour pork",270,8.91,23.34,15.66,2.68,1,0.304
"restaurant, family style, chicken fingers, from kid's menu",270,19.93,15.2,14.34,2.641,1,0.588
"restaurant, family style, french fries",292,3.65,36.6,14.53,2.666,3.5,0.314
"restaurant, family style, fried mozzarella sticks",329,14.89,24.89,18.92,6.983,1.8,0.794
"restaurant, family style, macaroni & cheese, from kids' menu",153,6.47,18.12,6.1,2.21,1.2,0.368
"restaurant, family style, shrimp, breaded and fried",294,12.85,20.01,18.1,3.325,1,0.853
"restaurant, family style, sirloin steak",186,28.78,0.07,7.88,2.952,0,0.307
"restaurant, latino, arepa (unleavened cornmeal bread)",219,5.48,37.14,5.38,2.902,2.6,0.27
"restaurant, latino, arroz con frijoles negros (rice and black beans)",151,4.64,24.4,3.85,0.729,3.4,0.42
"restaurant, latino, arroz con grandules (rice and pigeonpeas)",182,3.5,30.75,4.98,0.763,1.4,0.583
"restaurant, latino, arroz con habichuelas colorados (rice and red beans)",142,3.96,23.74,3.46,0.502,2.6,0.37
"restaurant, latino, arroz con leche (rice pudding)",146,3.2,24.92,3.69,1.899,0.5,0.106
"restaurant, latino, black bean soup",103,5.1,14.79,2.57,0.535,4.9,0.311
"restaurant, latino, bunuelos (fried yeast bread)",462,8.02,48.57,26.24,6.834,1.5,0.418
"restaurant, latino, chicken and rice, entree, prepared",174,12.02,20.03,5.06,1.101,1.2,0.518
"restaurant, latino, empanadas, beef, prepared",335,11.31,31.19,18.37,5.156,2,0.44
rice and wheat cereal bar,409,9.09,72.73,9.09,0,1.8,0.5
"rice, brown, long-grain, cooked",111,2.58,22.96,0.9,0.18,1.8,0.005
"rice noodles, cooked",109,0.91,24.9,0.2,0.023,1,0.019
"rolls, dinner, rye",286,10.3,53.1,3.4,0.605,4.9,0.65
"seaweed, spirulina, dried",290,57.47,23.9,7.72,2.65,3.6,1.048
"seeds, chia seeds, dried",486,16.54,42.12,30.74,3.33,34.4,0.016
"snacks, banana chips",519,2.3,58.4,33.6,28.97,7.7,0.006
"snacks, corn cakes, very low sodium",387,8.1,83.4,2.4,0.42,0,0.028
"snacks, granola bar, fruit-filled, nonfat",342,5.9,77.6,0.9,0.2,7.4,0.024
"snacks, granola bars, soft, uncoated, peanut butter",426,10.5,64.4,15.8,3.65,4.3,0.409
"snacks, pretzels, hard, whole-wheat including both salted and unsalted",362,11.1,81.3,2.6,0.56,7.7,0.203
"snacks, rice cakes, brown rice, buckwheat, unsalted",380,9,80.1,3.5,0.64,0,0.004
"snacks, soy chips or crisps, salted",385,26.5,53.15,7.35,1.102,3.5,0.842
"snacks, tortilla chips, light (baked with less oil)",465,8.7,73.4,15.2,2.837,5.7,0.856
"snacks, trail mix, regular, unsalted",462,13.8,44.9,29.4,5.55,0,0.01
"snacks, vegetable chips, made from garden vegetables",473,5.32,60.43,23.3,1.762,4.7,0.966
"soup, beef broth, cubed, prepared with water",3,0.21,0.25,0.08,0.04,0,0.26
"soup, lentil with ham, canned, ready-to-serve",56,3.74,8.16,1.12,0.45,0,0.532
"soup, tomato, low sodium, with water",30,0.79,6.57,0.28,0.076,0.6,0.033
"soup, vegetable chicken, canned, prepared with water, low sodium",69,5.1,8.76,2,0.597,0.4,0.035
"soymilk (all flavors), lowfat, with added calcium, vitamins a and d",43,1.65,7.2,0.62,0,0.8,0.037
"spinach, cooked, boiled, drained, with salt",23,2.97,3.75,0.26,0.043,2.4,0.306
"squash, indian, cooked, boiled (navajo)",16,0.31,3.22,0.15,1.043,1.5,0
"stew, steamed corn (navajo)",112,8.82,10.8,3.75,1.603,2.3,0.104
"taro, cooked, with salt",142,0.52,34.6,0.11,0.023,5.1,0.251
"turkey, all classes, breast, meat and skin, cooked, roasted",189,28.71,0,7.41,2.1,0,0.063
vegetarian stew,123,17,7,3,0.475,1.1,0.4
vegetarian fillets,290,23,9,18,2.849,6.1,0.49
vegetarian meatloaf or patties,197,21,8,9,1.425,4.6,0.55
"vitasoy usa, organic nasoya firm tofu",84,8.9,2.3,4.4,0.5,0.8,0.004
"turnips, frozen, cooked, boiled, drained, with salt",21,1.53,3.76,0.24,0.025,2,0.272
"snacks, granola bars, quaker oatmeal to go, all flavors",389,6.67,75.47,6.67,1.299,4.6,0.367
